Реестр образовательных программ и соответствующая им структура учебных групп факультета "АК" МГТУ им. Н.Э. Баумана
Кафедра "АК-1"
Группа | ОКСО | Специализация | Квалификация 
Декан факультета "АК" Симольянц Р.П. _________________________
Реестр образовательных программ и соответствующая им структура учебных групп факультета "БМТ" МГТУ им. Н.Э. Баумана
Кафедра "БМТ-1"
Группа | ОКСО | Специализация | Квалификация 
БМТ1-11 | 200401 - Биотехнические и медицинские аппараты и системы | 00 -  | 65 - Инженер
БМТ1-21 | 200401 - Биотехнические и медицинские аппараты и системы | 00 -  | 65 - Инженер
БМТ1-31 | 200401 - Биотехнические и медицинские аппараты и системы | 00 -  | 65 - Инженер
БМТ1-41 | 200401 - Биотехнические и медицинские аппараты и системы | 00 -  | 65 - Инженер
БМТ1-51 | 200401 - Биотехнические и медицинские аппараты и системы | 00 -  | 65 - Инженер
БМТ1-61 | 200401 - Биотехнические и медицинские аппараты и системы | 00 -  | 65 - Инженер
БМТ1-71 | 200401 - Биотехнические и медицинские аппараты и системы | 00 -  | 65 - Инженер
БМТ1-81 | 200401 - Биотехнические и медицинские аппараты и системы | 00 -  | 65 - Инженер
БМТ1-91 | 200401 - Биотехнические и медицинские аппараты и системы | 00 -  | 65 - Инженер
БМТ1-92 | 200401 - Биотехнические и медицинские аппараты и системы | 00 -  | 65 - Инженер
БМТ1-93 | 200300 - Биомедицинская инженерия | 03 -  | 68 - Магистр техники и технологии
БМТ1-101 | 200401 - Биотехнические и медицинские аппараты и системы | 00 -  | 65 - Инженер
БМТ1-102 | 200401 - Биотехнические и медицинские аппараты и системы | 00 -  | 65 - Инженер
БМТ1-103 | 200300 - Биомедицинская инженерия | 03 -  | 68 - Магистр техники и технологии
БМТ1-111 | 200401 - Биотехнические и медицинские аппараты и системы | 00 -  | 65 - Инженер
БМТ1-112 | 200401 - Биотехнические и медицинские аппараты и системы | 00 -  | 65 - Инженер
БМТ1-113 | 200300 - Биомедицинская инженерия | 03 -  | 68 - Магистр техники и технологии
БМТ1-121 | 200401 - Биотехнические и медицинские аппараты и системы | 00 -  | 65 - Инженер
БМТ1-122 | 200401 - Биотехнические и медицинские аппараты и системы | 00 -  | 65 - Инженер
БМТ1-123 | 200300 - Биомедицинская инженерия | 03 -  | 68 - Магистр техники и технологии
Кафедра "БМТ-2"
Группа | ОКСО | Специализация | Квалификация 
БМТ2-11 | 200402 - Инженерное дело в медико-биологической практике | 00 -  | 65 - Инженер
БМТ2-12 | 200402 - Инженерное дело в медико-биологической практике | 00 -  | 65 - Инженер
БМТ2-21 | 200402 - Инженерное дело в медико-биологической практике | 00 -  | 65 - Инженер
БМТ2-22 | 200402 - Инженерное дело в медико-биологической практике | 00 -  | 65 - Инженер
БМТ2-31 | 200402 - Инженерное дело в медико-биологической практике | 00 -  | 65 - Инженер
БМТ2-32 | 200402 - Инженерное дело в медико-биологической практике | 00 -  | 65 - Инженер
БМТ2-41 | 200402 - Инженерное дело в медико-биологической практике | 00 -  | 65 - Инженер
БМТ2-42 | 200402 - Инженерное дело в медико-биологической практике | 00 -  | 65 - Инженер
БМТ2-51 | 200402 - Инженерное дело в медико-биологической практике | 00 -  | 65 - Инженер
БМТ2-52 | 200402 - Инженерное дело в медико-биологической практике | 00 -  | 65 - Инженер
БМТ2-61 | 200402 - Инженерное дело в медико-биологической практике | 00 -  | 65 - Инженер
БМТ2-62 | 200402 - Инженерное дело в медико-биологической практике | 00 -  | 65 - Инженер
БМТ2-71 | 200402 - Инженерное дело в медико-биологической практике | 00 -  | 65 - Инженер
БМТ2-72 | 200402 - Инженерное дело в медико-биологической практике | 00 -  | 65 - Инженер
БМТ2-81 | 200402 - Инженерное дело в медико-биологической практике | 00 -  | 65 - Инженер
БМТ2-82 | 200402 - Инженерное дело в медико-биологической практике | 00 -  | 65 - Инженер
БМТ2-91 | 200402 - Инженерное дело в медико-биологической практике | 00 -  | 65 - Инженер
БМТ2-92 | 200402 - Инженерное дело в медико-биологической практике | 00 -  | 65 - Инженер
БМТ2-93 | 200300 - Биомедицинская инженерия | 03 -  | 68 - Магистр техники и технологии
БМТ2-101 | 200402 - Инженерное дело в медико-биологической практике | 00 -  | 65 - Инженер
БМТ2-102 | 200402 - Инженерное дело в медико-биологической практике | 00 -  | 65 - Инженер
БМТ2-103 | 200300 - Биомедицинская инженерия | 03 -  | 68 - Магистр техники и технологии
БМТ2-111 | 200402 - Инженерное дело в медико-биологической практике | 00 -  | 65 - Инженер
БМТ2-112 | 200402 - Инженерное дело в медико-биологической практике | 00 -  | 65 - Инженер
БМТ2-113 | 200300 - Биомедицинская инженерия | 03 -  | 68 - Магистр техники и технологии
БМТ2-121 | 200402 - Инженерное дело в медико-биологической практике | 00 -  | 65 - Инженер
БМТ2-122 | 200402 - Инженерное дело в медико-биологической практике | 00 -  | 65 - Инженер
БМТ2-123 | 200300 - Биомедицинская инженерия | 03 -  | 68 - Магистр техники и технологии
Кафедра "БМТ-4"
Группа | ОКСО | Специализация | Квалификация 
Декан факультета "БМТ" Щукин С.И. _________________________
Реестр образовательных программ и соответствующая им структура учебных групп факультета "ГУИМЦ" МГТУ им. Н.Э. Баумана
Кафедра "УЦ-1"
Группа | ОКСО | Специализация | Квалификация 
УЦ1-11 | 150501 - Материаловедение в машиностроении | 00 -  | 65 - Инженер
УЦ1-12 | 150501 - Материаловедение в машиностроении | 00 -  | 65 - Инженер
УЦ1-13 | 150501 - Материаловедение в машиностроении | 00 -  | 65 - Инженер
УЦ1-14 | 150501 - Материаловедение в машиностроении | 00 -  | 65 - Инженер
УЦ1-21 | 150501 - Материаловедение в машиностроении | 00 -  | 65 - Инженер
УЦ1-22 | 150501 - Материаловедение в машиностроении | 00 -  | 65 - Инженер
УЦ1-23 | 150501 - Материаловедение в машиностроении | 00 -  | 65 - Инженер
УЦ1-24 | 150501 - Материаловедение в машиностроении | 00 -  | 65 - Инженер
УЦ1-31 | 150501 - Материаловедение в машиностроении | 00 -  | 65 - Инженер
УЦ1-41 | 150501 - Материаловедение в машиностроении | 00 -  | 65 - Инженер
УЦ1-51 | 150501 - Материаловедение в машиностроении | 00 -  | 65 - Инженер
УЦ1-61 | 150501 - Материаловедение в машиностроении | 00 -  | 65 - Инженер
Кафедра "УЦ-2"
Группа | ОКСО | Специализация | Квалификация 
УЦ2-31 | 220301 - Автоматизация технологических процессов и производств (по отраслям) | 00 -  | 65 - Инженер
УЦ2-41 | 220301 - Автоматизация технологических процессов и производств (по отраслям) | 00 -  | 65 - Инженер
УЦ2-51 | 220301 - Автоматизация технологических процессов и производств (по отраслям) | 00 -  | 65 - Инженер
УЦ2-61 | 220301 - Автоматизация технологических процессов и производств (по отраслям) | 00 -  | 65 - Инженер
УЦ2-71 | - -  |  -  |  - 
УЦ2-81 | - -  |  -  |  - 
Кафедра "УЦ-4"
Группа | ОКСО | Специализация | Квалификация 
УЦ4-51 | 200503 - Стандартизация и сертификация | 00 -  | 65 - Инженер
