Реестр образовательных программ и соответствующая им структура учебных групп факультета "АК" МГТУ им. Н.Э. Баумана
Кафедра "АК-1"
Группа | ОКСО | Специализация | Квалификация 
ИУ6-32 | 230101 - Вычислительные машины, комплексы, системы и сети | 00 -  | 65 - Инженер
ИУ6-33 | 230101 - Вычислительные машины, комплексы, системы и сети | 00 -  | 65 - Инженер
ИУ6-41 | 230101 - Вычислительные машины, комплексы, системы и сети | 00 -  | 65 - Инженер
ИУ6-42 | 230101 - Вычислительные машины, комплексы, системы и сети | 00 -  | 65 - Инженер
ИУ6-43 | 230101 - Вычислительные машины, комплексы, системы и сети | 00 -  | 65 - Инженер
ИУ6-51 | 230101 - Вычислительные машины, комплексы, системы и сети | 00 -  | 65 - Инженер
ИУ6-52 | 230101 - Вычислительные машины, комплексы, системы и сети | 00 -  | 65 - Инженер
ИУ6-53 | 230101 - Вычислительные машины, комплексы, системы и сети | 00 -  | 65 - Инженер
ИУ6-61 | 230101 - Вычислительные машины, комплексы, системы и сети | 00 -  | 65 - Инженер
ИУ6-62 | 230101 - Вычислительные машины, комплексы, системы и сети | 00 -  | 65 - Инженер
ИУ6-63 | 230101 - Вычислительные машины, комплексы, системы и сети | 00 -  | 65 - Инженер
ИУ6-71 | 230101 - Вычислительные машины, комплексы, системы и сети | 00 -  | 65 - Инженер
ИУ6-72 | 230101 - Вычислительные машины, комплексы, системы и сети | 00 -  | 65 - Инженер
ИУ6-73 | 230101 - Вычислительные машины, комплексы, системы и сети | 00 -  | 65 - Инженер
ИУ6-81 | 230101 - Вычислительные машины, комплексы, системы и сети | 00 -  | 65 - Инженер
ИУ6-82 | 230101 - Вычислительные машины, комплексы, системы и сети | 00 -  | 65 - Инженер
ИУ6-83 | 230101 - Вычислительные машины, комплексы, системы и сети | 00 -  | 65 - Инженер
ИУ6-91 | 230101 - Вычислительные машины, комплексы, системы и сети | 00 -  | 65 - Инженер
ИУ6-92 | 230101 - Вычислительные машины, комплексы, системы и сети | 00 -  | 65 - Инженер
ИУ6-93 | 230101 - Вычислительные машины, комплексы, системы и сети | 00 -  | 65 - Инженер
ИУ6-94 | 230100 - Информатика и вычислительная техника | 04 -  | 68 - Магистр техники и технологии
ИУ6-95 | 230100 - Информатика и вычислительная техника | 05 -  | 68 - Магистр техники и технологии
ИУ6-96 | 230100 - Информатика и вычислительная техника | 08 -  | 68 - Магистр техники и технологии
ИУ6-97 | 230100 - Информатика и вычислительная техника | 13 -  | 68 - Магистр техники и технологии
ИУ6-98 | 230100 - Информатика и вычислительная техника | 21 -  | 68 - Магистр техники и технологии
ИУ6-101 | 230101 - Вычислительные машины, комплексы, системы и сети | 00 -  | 65 - Инженер
ИУ6-102 | 230101 - Вычислительные машины, комплексы, системы и сети | 00 -  | 65 - Инженер
ИУ6-103 | 230101 - Вычислительные машины, комплексы, системы и сети | 00 -  | 65 - Инженер
ИУ6-104 | 230100 - Информатика и вычислительная техника | 04 -  | 68 - Магистр техники и технологии
ИУ6-105 | 230100 - Информатика и вычислительная техника | 05 -  | 68 - Магистр техники и технологии
ИУ6-106 | 230100 - Информатика и вычислительная техника | 08 -  | 68 - Магистр техники и технологии
ИУ6-107 | 230100 - Информатика и вычислительная техника | 13 -  | 68 - Магистр техники и технологии
ИУ6-108 | 230100 - Информатика и вычислительная техника | 21 -  | 68 - Магистр техники и технологии
ИУ6-111 | 230101 - Вычислительные машины, комплексы, системы и сети | 00 -  | 65 - Инженер
ИУ6-112 | 230101 - Вычислительные машины, комплексы, системы и сети | 00 -  | 65 - Инженер
ИУ6-113 | 230101 - Вычислительные машины, комплексы, системы и сети | 00 -  | 65 - Инженер
ИУ6-114 | 230100 - Информатика и вычислительная техника | 04 -  | 68 - Магистр техники и технологии
ИУ6-115 | 230100 - Информатика и вычислительная техника | 08 -  | 68 - Магистр техники и технологии
ИУ6-116 | 230100 - Информатика и вычислительная техника | 13 -  | 68 - Магистр техники и технологии
ИУ6-121 | 230101 - Вычислительные машины, комплексы, системы и сети | 00 -  | 65 - Инженер
ИУ6-122 | 230101 - Вычислительные машины, комплексы, системы и сети | 00 -  | 65 - Инженер
ИУ6-123 | 230101 - Вычислительные машины, комплексы, системы и сети | 00 -  | 65 - Инженер
ИУ6-124 | 230100 - Информатика и вычислительная техника | 04 -  | 68 - Магистр техники и технологии
ИУ6-125 | 230100 - Информатика и вычислительная техника | 08 -  | 68 - Магистр техники и технологии
ИУ6-126 | 230100 - Информатика и вычислительная техника | 13 -  | 68 - Магистр техники и технологии
Кафедра "ИУ-7"
Группа | ОКСО | Специализация | Квалификация 
ИУ7-11 | 230105 - Программное обеспечение вычислительной техники и автоматизированных систем | 00 -  | 65 - Инженер
ИУ7-12 | 230105 - Программное обеспечение вычислительной техники и автоматизированных систем | 00 -  | 65 - Инженер
ИУ7-13 | 230105 - Программное обеспечение вычислительной техники и автоматизированных систем | 00 -  | 65 - Инженер
ИУ7-21 | 230105 - Программное обеспечение вычислительной техники и автоматизированных систем | 00 -  | 65 - Инженер
ИУ7-22 | 230105 - Программное обеспечение вычислительной техники и автоматизированных систем | 00 -  | 65 - Инженер
ИУ7-23 | 230105 - Программное обеспечение вычислительной техники и автоматизированных систем | 00 -  | 65 - Инженер
ИУ7-31 | 230105 - Программное обеспечение вычислительной техники и автоматизированных систем | 00 -  | 65 - Инженер
ИУ7-32 | 230105 - Программное обеспечение вычислительной техники и автоматизированных систем | 00 -  | 65 - Инженер
ИУ7-33 | 230105 - Программное обеспечение вычислительной техники и автоматизированных систем | 00 -  | 65 - Инженер
ИУ7-41 | 230105 - Программное обеспечение вычислительной техники и автоматизированных систем | 00 -  | 65 - Инженер
ИУ7-42 | 230105 - Программное обеспечение вычислительной техники и автоматизированных систем | 00 -  | 65 - Инженер
ИУ7-43 | 230105 - Программное обеспечение вычислительной техники и автоматизированных систем | 00 -  | 65 - Инженер
ИУ7-51 | 230105 - Программное обеспечение вычислительной техники и автоматизированных систем | 00 -  | 65 - Инженер
ИУ7-52 | 230105 - Программное обеспечение вычислительной техники и автоматизированных систем | 00 -  | 65 - Инженер
ИУ7-53 | 230105 - Программное обеспечение вычислительной техники и автоматизированных систем | 07 - Проектирование автоматизированных библиотечных и документальных систем | 65 - Инженер
ИУ7-61 | 230105 - Программное обеспечение вычислительной техники и автоматизированных систем | 00 -  | 65 - Инженер
ИУ7-62 | 230105 - Программное обеспечение вычислительной техники и автоматизированных систем | 00 -  | 65 - Инженер
ИУ7-63 | 230105 - Программное обеспечение вычислительной техники и автоматизированных систем | 07 - Проектирование автоматизированных библиотечных и документальных систем | 65 - Инженер
ИУ7-71 | 230105 - Программное обеспечение вычислительной техники и автоматизированных систем | 00 -  | 65 - Инженер
ИУ7-72 | 230105 - Программное обеспечение вычислительной техники и автоматизированных систем | 00 -  | 65 - Инженер
ИУ7-73 | 230105 - Программное обеспечение вычислительной техники и автоматизированных систем | 07 - Проектирование автоматизированных библиотечных и документальных систем | 65 - Инженер
ИУ7-81 | 230105 - Программное обеспечение вычислительной техники и автоматизированных систем | 00 -  | 65 - Инженер
ИУ7-82 | 230105 - Программное обеспечение вычислительной техники и автоматизированных систем | 00 -  | 65 - Инженер
ИУ7-83 | 230105 - Программное обеспечение вычислительной техники и автоматизированных систем | 07 - Проектирование автоматизированных библиотечных и документальных систем | 65 - Инженер
ИУ7-91 | 230105 - Программное обеспечение вычислительной техники и автоматизированных систем | 00 -  | 65 - Инженер
ИУ7-92 | 230100 - Информатика и вычислительная техника | 09 -  | 68 - Магистр техники и технологии
ИУ7-93 | 230105 - Программное обеспечение вычислительной техники и автоматизированных систем | 00 -  | 65 - Инженер
ИУ7-101 | 230105 - Программное обеспечение вычислительной техники и автоматизированных систем | 00 -  | 65 - Инженер
ИУ7-102 | 230100 - Информатика и вычислительная техника | 09 -  | 68 - Магистр техники и технологии
ИУ7-103 | 230105 - Программное обеспечение вычислительной техники и автоматизированных систем | 00 -  | 65 - Инженер
ИУ7-111 | 230105 - Программное обеспечение вычислительной техники и автоматизированных систем | 00 -  | 65 - Инженер
ИУ7-112 | 230100 - Информатика и вычислительная техника | 09 -  | 68 - Магистр техники и технологии
ИУ7-113 | 230105 - Программное обеспечение вычислительной техники и автоматизированных систем | 00 -  | 65 - Инженер
ИУ7-121 | 230105 - Программное обеспечение вычислительной техники и автоматизированных систем | 00 -  | 65 - Инженер
ИУ7-122 | 230100 - Информатика и вычислительная техника | 09 -  | 68 - Магистр техники и технологии
ИУ7-123 | 230105 - Программное обеспечение вычислительной техники и автоматизированных систем | 00 -  | 65 - Инженер
Кафедра "ИУ-8"
Группа | ОКСО | Специализация | Квалификация 
ИУ8-11 | 090105 - Комплексное обеспечение информационной безопасности автоматизированных систем | 00 -  | 65 - Специалист по защите информации
ИУ8-12 | 090105 - Комплексное обеспечение информационной безопасности автоматизированных систем | 00 -  | 65 - Специалист по защите информации
ИУ8-13 | 090105 - Комплексное обеспечение информационной безопасности автоматизированных систем | 00 -  | 65 - Специалист по защите информации
ИУ8-14 | 090105 - Комплексное обеспечение информационной безопасности автоматизированных систем | 00 -  | 65 - Специалист по защите информации
ИУ8-21 | 090105 - Комплексное обеспечение информационной безопасности автоматизированных систем | 00 -  | 65 - Специалист по защите информации
ИУ8-22 | 090105 - Комплексное обеспечение информационной безопасности автоматизированных систем | 00 -  | 65 - Специалист по защите информации
ИУ8-23 | 090105 - Комплексное обеспечение информационной безопасности автоматизированных систем | 00 -  | 65 - Специалист по защите информации
ИУ8-24 | 090105 - Комплексное обеспечение информационной безопасности автоматизированных систем | 00 -  | 65 - Специалист по защите информации
ИУ8-31 | 090105 - Комплексное обеспечение информационной безопасности автоматизированных систем | 00 -  | 65 - Специалист по защите информации
ИУ8-32 | 090105 - Комплексное обеспечение информационной безопасности автоматизированных систем | 00 -  | 65 - Специалист по защите информации
ИУ8-33 | 090105 - Комплексное обеспечение информационной безопасности автоматизированных систем | 00 -  | 65 - Специалист по защите информации
ИУ8-34 | 090105 - Комплексное обеспечение информационной безопасности автоматизированных систем | 00 -  | 65 - Специалист по защите информации
ИУ8-41 | 090105 - Комплексное обеспечение информационной безопасности автоматизированных систем | 00 -  | 65 - Специалист по защите информации
ИУ8-42 | 090105 - Комплексное обеспечение информационной безопасности автоматизированных систем | 00 -  | 65 - Специалист по защите информации
ИУ8-43 | 090105 - Комплексное обеспечение информационной безопасности автоматизированных систем | 00 -  | 65 - Специалист по защите информации
ИУ8-44 | 090105 - Комплексное обеспечение информационной безопасности автоматизированных систем | 00 -  | 65 - Специалист по защите информации
ИУ8-51 | 090105 - Комплексное обеспечение информационной безопасности автоматизированных систем | 00 -  | 65 - Специалист по защите информации
ИУ8-52 | 090105 - Комплексное обеспечение информационной безопасности автоматизированных систем | 00 -  | 65 - Специалист по защите информации
ИУ8-53 | 090105 - Комплексное обеспечение информационной безопасности автоматизированных систем | 00 -  | 65 - Специалист по защите информации
ИУ8-61 | 090105 - Комплексное обеспечение информационной безопасности автоматизированных систем | 00 -  | 65 - Специалист по защите информации
ИУ8-62 | 090105 - Комплексное обеспечение информационной безопасности автоматизированных систем | 00 -  | 65 - Специалист по защите информации
ИУ8-63 | 090105 - Комплексное обеспечение информационной безопасности автоматизированных систем | 00 -  | 65 - Специалист по защите информации
ИУ8-71 | 090105 - Комплексное обеспечение информационной безопасности автоматизированных систем | 00 -  | 65 - Специалист по защите информации
ИУ8-72 | 090105 - Комплексное обеспечение информационной безопасности автоматизированных систем | 00 -  | 65 - Специалист по защите информации
ИУ8-73 | 090105 - Комплексное обеспечение информационной безопасности автоматизированных систем | 00 -  | 65 - Специалист по защите информации
ИУ8-81 | 090105 - Комплексное обеспечение информационной безопасности автоматизированных систем | 00 -  | 65 - Специалист по защите информации
ИУ8-82 | 090105 - Комплексное обеспечение информационной безопасности автоматизированных систем | 00 -  | 65 - Специалист по защите информации
ИУ8-83 | 090105 - Комплексное обеспечение информационной безопасности автоматизированных систем | 00 -  | 65 - Специалист по защите информации
ИУ8-91 | 090105 - Комплексное обеспечение информационной безопасности автоматизированных систем | 00 -  | 65 - Специалист по защите информации
ИУ8-92 | 090105 - Комплексное обеспечение информационной безопасности автоматизированных систем | 00 -  | 65 - Специалист по защите информации
ИУ8-93 | 090105 - Комплексное обеспечение информационной безопасности автоматизированных систем | 00 -  | 65 - Специалист по защите информации
ИУ8-101 | 090105 - Комплексное обеспечение информационной безопасности автоматизированных систем | 00 -  | 65 - Специалист по защите информации
ИУ8-102 | 090105 - Комплексное обеспечение информационной безопасности автоматизированных систем | 00 -  | 65 - Специалист по защите информации
ИУ8-103 | 090105 - Комплексное обеспечение информационной безопасности автоматизированных систем | 00 -  | 65 - Специалист по защите информации
ИУ8-111 | 090105 - Комплексное обеспечение информационной безопасности автоматизированных систем | 00 -  | 65 - Специалист по защите информации
ИУ8-112 | 090105 - Комплексное обеспечение информационной безопасности автоматизированных систем | 00 -  | 65 - Специалист по защите информации
ИУ8-113 | 090105 - Комплексное обеспечение информационной безопасности автоматизированных систем | 00 -  | 65 - Специалист по защите информации
ИУ8-121 | 090105 - Комплексное обеспечение информационной безопасности автоматизированных систем | 00 -  | 65 - Специалист по защите информации
ИУ8-122 | 090105 - Комплексное обеспечение информационной безопасности автоматизированных систем | 00 -  | 65 - Специалист по защите информации
ИУ8-123 | 090105 - Комплексное обеспечение информационной безопасности автоматизированных систем | 00 -  | 65 - Специалист по защите информации
Кафедра "ИУ-9"
Группа | ОКСО | Специализация | Квалификация 
ИУ9-11 | 010501 - Прикладная математика и информатика | 00 -  | 65 - Математик, системный программист
ИУ9-21 | 010501 - Прикладная математика и информатика | 00 -  | 65 - Математик, системный программист
ИУ9-31 | 230101 - Вычислительные машины, комплексы, системы и сети | 00 -  | 65 - Инженер
ИУ9-41 | 230101 - Вычислительные машины, комплексы, системы и сети | 00 -  | 65 - Инженер
ИУ9-51 | 230101 - Вычислительные машины, комплексы, системы и сети | 00 -  | 65 - Инженер
ИУ9-61 | 230101 - Вычислительные машины, комплексы, системы и сети | 00 -  | 65 - Инженер
ИУ9-71 | 230101 - Вычислительные машины, комплексы, системы и сети | 00 -  | 65 - Инженер
ИУ9-81 | 230101 - Вычислительные машины, комплексы, системы и сети | 00 -  | 65 - Инженер
ИУ9-91 | 230101 - Вычислительные машины, комплексы, системы и сети | 00 -  | 65 - Инженер
ИУ9-101 | 230101 - Вычислительные машины, комплексы, системы и сети | 00 -  | 65 - Инженер
ИУ9-111 | 230101 - Вычислительные машины, комплексы, системы и сети | 00 -  | 65 - Инженер
ИУ9-121 | 230101 - Вычислительные машины, комплексы, системы и сети | 00 -  | 65 - Инженер
Кафедра "ИУ-10"
Группа | ОКСО | Специализация | Квалификация 
ИУ10-11 | 090107 - Противодействие техническим разведкам | 00 -  | 65 - Специалист по защите информации
ИУ10-21 | 090107 - Противодействие техническим разведкам | 00 -  | 65 - Специалист по защите информации
ИУ10-31 | 090107 - Противодействие техническим разведкам | 00 -  | 65 - Специалист по защите информации
ИУ10-41 | 090107 - Противодействие техническим разведкам | 00 -  | 65 - Специалист по защите информации
ИУ10-51 | 090107 - Противодействие техническим разведкам | 00 -  | 65 - Специалист по защите информации
ИУ10-61 | 090107 - Противодействие техническим разведкам | 00 -  | 65 - Специалист по защите информации
ИУ10-71 | 090107 - Противодействие техническим разведкам | 00 -  | 65 - Специалист по защите информации
ИУ10-81 | 090107 - Противодействие техническим разведкам | 00 -  | 65 - Специалист по защите информации
ИУ10-91 | 090107 - Противодействие техническим разведкам | 00 -  | 65 - Специалист по защите информации
ИУ10-101 | 090107 - Противодействие техническим разведкам | 00 -  | 65 - Специалист по защите информации
ИУ10-111 | 090107 - Противодействие техническим разведкам | 00 -  | 65 - Специалист по защите информации
ИУ10-121 | 090107 - Противодействие техническим разведкам | 00 -  | 65 - Специалист по защите информации
Декан факультета "ИУ" Матвеев В.А. _________________________
Реестр образовательных программ и соответствующая им структура учебных групп факультета "Л" МГТУ им. Н.Э. Баумана
Кафедра "Л-1"
Группа | ОКСО | Специализация | Квалификация 
Кафедра "Л-2"
Группа | ОКСО | Специализация | Квалификация 
Кафедра "Л-3"
Группа | ОКСО | Специализация | Квалификация 
Кафедра "Л-4"
Группа | ОКСО | Специализация | Квалификация 
Декан факультета "Л" Кузнецова Т.И. _________________________
Реестр образовательных программ и соответствующая им структура учебных групп факультета "МТ" МГТУ им. Н.Э. Баумана
Кафедра "МТ-1"
Группа | ОКСО | Специализация | Квалификация 
МТ1-11 | 151002 - Металлообрабатывающие станки и комплексы  | 00 -  | 65 - Инженер
МТ1-12 | 151002 - Металлообрабатывающие станки и комплексы  | 00 -  | 65 - Инженер
МТ1-21 | 151002 - Металлообрабатывающие станки и комплексы  | 00 -  | 65 - Инженер
МТ1-22 | 151002 - Металлообрабатывающие станки и комплексы  | 00 -  | 65 - Инженер
МТ1-31 | 151002 - Металлообрабатывающие станки и комплексы  | 00 -  | 65 - Инженер
МТ1-32 | 151002 - Металлообрабатывающие станки и комплексы  | 00 -  | 65 - Инженер
МТ1-41 | 151002 - Металлообрабатывающие станки и комплексы  | 00 -  | 65 - Инженер
МТ1-42 | 151002 - Металлообрабатывающие станки и комплексы  | 00 -  | 65 - Инженер
МТ1-51 | 151002 - Металлообрабатывающие станки и комплексы  | 00 -  | 65 - Инженер
МТ1-52 | 151002 - Металлообрабатывающие станки и комплексы  | 00 -  | 65 - Инженер
МТ1-61 | 151002 - Металлообрабатывающие станки и комплексы  | 00 -  | 65 - Инженер
МТ1-62 | 151002 - Металлообрабатывающие станки и комплексы  | 00 -  | 65 - Инженер
МТ1-71 | 151002 - Металлообрабатывающие станки и комплексы  | 00 -  | 65 - Инженер
МТ1-72 | 151002 - Металлообрабатывающие станки и комплексы  | 00 -  | 65 - Инженер
МТ1-81 | 151002 - Металлообрабатывающие станки и комплексы  | 00 -  | 65 - Инженер
МТ1-82 | 151002 - Металлообрабатывающие станки и комплексы  | 00 -  | 65 - Инженер
МТ1-91 | 151002 - Металлообрабатывающие станки и комплексы  | 00 -  | 65 - Инженер
МТ1-92 | 151002 - Металлообрабатывающие станки и комплексы  | 00 -  | 65 - Инженер
МТ1-101 | 151002 - Металлообрабатывающие станки и комплексы  | 00 -  | 65 - Инженер
МТ1-102 | 151002 - Металлообрабатывающие станки и комплексы  | 00 -  | 65 - Инженер
МТ1-111 | 151002 - Металлообрабатывающие станки и комплексы  | 00 -  | 65 - Инженер
МТ1-112 | 151002 - Металлообрабатывающие станки и комплексы  | 00 -  | 65 - Инженер
МТ1-121 | 151002 - Металлообрабатывающие станки и комплексы  | 00 -  | 65 - Инженер
МТ1-122 | 151002 - Металлообрабатывающие станки и комплексы  | 00 -  | 65 - Инженер
Кафедра "МТ-2"
Группа | ОКСО | Специализация | Квалификация 
МТ2-11 | 151003 - Инструментальные системы машиностроительных производств | 00 -  | 65 - Инженер
МТ2-12 | 151003 - Инструментальные системы машиностроительных производств | 00 -  | 65 - Инженер
МТ2-21 | 151003 - Инструментальные системы машиностроительных производств | 00 -  | 65 - Инженер
МТ2-22 | 151003 - Инструментальные системы машиностроительных производств | 00 -  | 65 - Инженер
МТ2-31 | 151003 - Инструментальные системы машиностроительных производств | 00 -  | 65 - Инженер
МТ2-32 | 151003 - Инструментальные системы машиностроительных производств | 00 -  | 65 - Инженер
МТ2-41 | 151003 - Инструментальные системы машиностроительных производств | 00 -  | 65 - Инженер
МТ2-42 | 151003 - Инструментальные системы машиностроительных производств | 00 -  | 65 - Инженер
МТ2-51 | 151003 - Инструментальные системы машиностроительных производств | 00 -  | 65 - Инженер
МТ2-52 | 151003 - Инструментальные системы машиностроительных производств | 00 -  | 65 - Инженер
МТ2-61 | 151003 - Инструментальные системы машиностроительных производств | 00 -  | 65 - Инженер
МТ2-62 | 151003 - Инструментальные системы машиностроительных производств | 00 -  | 65 - Инженер
МТ2-71 | 151003 - Инструментальные системы машиностроительных производств | 00 -  | 65 - Инженер
МТ2-72 | 151003 - Инструментальные системы машиностроительных производств | 00 -  | 65 - Инженер
МТ2-81 | 151003 - Инструментальные системы машиностроительных производств | 00 -  | 65 - Инженер
МТ2-82 | 151003 - Инструментальные системы машиностроительных производств | 00 -  | 65 - Инженер
МТ2-91 | 151003 - Инструментальные системы машиностроительных производств | 00 -  | 65 - Инженер
МТ2-92 | 151003 - Инструментальные системы машиностроительных производств | 00 -  | 65 - Инженер
МТ2-101 | 151003 - Инструментальные системы машиностроительных производств | 00 -  | 65 - Инженер
МТ2-102 | 151003 - Инструментальные системы машиностроительных производств | 00 -  | 65 - Инженер
МТ2-111 | 151003 - Инструментальные системы машиностроительных производств | 00 -  | 65 - Инженер
МТ2-112 | 151003 - Инструментальные системы машиностроительных производств | 00 -  | 65 - Инженер
МТ2-121 | 151003 - Инструментальные системы машиностроительных производств | 00 -  | 65 - Инженер
МТ2-122 | 151003 - Инструментальные системы машиностроительных производств | 00 -  | 65 - Инженер
Кафедра "МТ-3"
Группа | ОКСО | Специализация | Квалификация 
МТ3-11 | 151001 - Технология машиностроения | 00 -  | 65 - Инженер
МТ3-12 | 150401 - Проектирование технических и технологических комплексов | 00 -  | 65 - Инженер
МТ3-21 | 151001 - Технология машиностроения | 00 -  | 65 - Инженер
МТ3-22 | 150401 - Проектирование технических и технологических комплексов | 00 -  | 65 - Инженер
МТ3-31 | 151001 - Технология машиностроения | 00 -  | 65 - Инженер
МТ3-32 | 150401 - Проектирование технических и технологических комплексов | 00 -  | 65 - Инженер
МТ3-41 | 151001 - Технология машиностроения | 00 -  | 65 - Инженер
МТ3-42 | 150401 - Проектирование технических и технологических комплексов | 00 -  | 65 - Инженер
МТ3-51 | 151001 - Технология машиностроения | 00 -  | 65 - Инженер
МТ3-52 | 150401 - Проектирование технических и технологических комплексов | 00 -  | 65 - Инженер
МТ3-53 | 151001 - Технология машиностроения | 00 -  | 65 - Инженер
МТ3-61 | 151001 - Технология машиностроения | 00 -  | 65 - Инженер
МТ3-62 | 150401 - Проектирование технических и технологических комплексов | 00 -  | 65 - Инженер
МТ3-63 | 151001 - Технология машиностроения | 00 -  | 65 - Инженер
МТ3-71 | 151001 - Технология машиностроения | 00 -  | 65 - Инженер
МТ3-72 | 150401 - Проектирование технических и технологических комплексов | 00 -  | 65 - Инженер
МТ3-73 | 151001 - Технология машиностроения | 00 -  | 65 - Инженер
МТ3-81 | 151001 - Технология машиностроения | 00 -  | 65 - Инженер
МТ3-82 | 150401 - Проектирование технических и технологических комплексов | 00 -  | 65 - Инженер
МТ3-83 | 151001 - Технология машиностроения | 00 -  | 65 - Инженер
МТ3-91 | 151001 - Технология машиностроения | 00 -  | 65 - Инженер
МТ3-92 | 150401 - Проектирование технических и технологических комплексов | 00 -  | 65 - Инженер
МТ3-101 | 151001 - Технология машиностроения | 00 -  | 65 - Инженер
МТ3-102 | 150401 - Проектирование технических и технологических комплексов | 00 -  | 65 - Инженер
МТ3-111 | 151001 - Технология машиностроения | 00 -  | 65 - Инженер
МТ3-112 | 150401 - Проектирование технических и технологических комплексов | 00 -  | 65 - Инженер
МТ3-121 | 151001 - Технология машиностроения | 00 -  | 65 - Инженер
МТ3-122 | 150401 - Проектирование технических и технологических комплексов | 00 -  | 65 - Инженер
Кафедра "МТ-4"
Группа | ОКСО | Специализация | Квалификация 
МТ4-11 | 200501 - Метрология и метрологическое обеспечение | 00 -  | 65 - Инженер
МТ4-21 | 200501 - Метрология и метрологическое обеспечение | 00 -  | 65 - Инженер
МТ4-31 | 200501 - Метрология и метрологическое обеспечение | 00 -  | 65 - Инженер
МТ4-41 | 200501 - Метрология и метрологическое обеспечение | 00 -  | 65 - Инженер
МТ4-51 | 200503 - Стандартизация и сертификация | 00 -  | 65 - Инженер
МТ4-61 | 200503 - Стандартизация и сертификация | 00 -  | 65 - Инженер
МТ4-71 | 200503 - Стандартизация и сертификация | 00 -  | 65 - Инженер
МТ4-81 | 200503 - Стандартизация и сертификация | 00 -  | 65 - Инженер
МТ4-91 | 200503 - Стандартизация и сертификация | 00 -  | 65 - Инженер
МТ4-101 | 200503 - Стандартизация и сертификация | 00 -  | 65 - Инженер
МТ4-111 | 200503 - Стандартизация и сертификация | 00 -  | 65 - Инженер
МТ4-121 | 200503 - Стандартизация и сертификация | 00 -  | 65 - Инженер
Кафедра "МТ-5"
Группа | ОКСО | Специализация | Квалификация 
МТ5-11 | 150204 - Машины и технология литейного производства | 00 -  | 65 - Инженер
МТ5-12 | 150204 - Машины и технология литейного производства | 00 -  | 65 - Инженер
МТ5-21 | 150204 - Машины и технология литейного производства | 00 -  | 65 - Инженер
МТ5-22 | 150204 - Машины и технология литейного производства | 00 -  | 65 - Инженер
МТ5-31 | 150204 - Машины и технология литейного производства | 00 -  | 65 - Инженер
МТ5-32 | 150204 - Машины и технология литейного производства | 00 -  | 65 - Инженер
МТ5-41 | 150204 - Машины и технология литейного производства | 00 -  | 65 - Инженер
МТ5-42 | 150204 - Машины и технология литейного производства | 00 -  | 65 - Инженер
МТ5-51 | 150204 - Машины и технология литейного производства | 00 -  | 65 - Инженер
МТ5-52 | 150204 - Машины и технология литейного производства | 00 -  | 65 - Инженер
МТ5-61 | 150204 - Машины и технология литейного производства | 00 -  | 65 - Инженер
МТ5-62 | 150204 - Машины и технология литейного производства | 00 -  | 65 - Инженер
МТ5-71 | 150204 - Машины и технология литейного производства | 00 -  | 65 - Инженер
МТ5-72 | 150204 - Машины и технология литейного производства | 00 -  | 65 - Инженер
МТ5-81 | 150204 - Машины и технология литейного производства | 00 -  | 65 - Инженер
МТ5-82 | 150204 - Машины и технология литейного производства | 00 -  | 65 - Инженер
МТ5-91 | 150204 - Машины и технология литейного производства | 00 -  | 65 - Инженер
МТ5-92 | 150204 - Машины и технология литейного производства | 00 -  | 65 - Инженер
МТ5-101 | 150204 - Машины и технология литейного производства | 00 -  | 65 - Инженер
МТ5-102 | 150204 - Машины и технология литейного производства | 00 -  | 65 - Инженер
МТ5-111 | 150204 - Машины и технология литейного производства | 00 -  | 65 - Инженер
МТ5-112 | 150204 - Машины и технология литейного производства | 00 -  | 65 - Инженер
МТ5-121 | 150204 - Машины и технология литейного производства | 00 -  | 65 - Инженер
МТ5-122 | 150204 - Машины и технология литейного производства | 00 -  | 65 - Инженер
Кафедра "МТ-6"
Группа | ОКСО | Специализация | Квалификация 
МТ6-11 | 150201 - Машины и технология обработки металлов давлением | 00 -  | 65 - Инженер
МТ6-12 | 150201 - Машины и технология обработки металлов давлением | 01 -  | 65 - Инженер
МТ6-21 | 150201 - Машины и технология обработки металлов давлением | 00 -  | 65 - Инженер
МТ6-22 | 150201 - Машины и технология обработки металлов давлением | 01 -  | 65 - Инженер
